outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
APACHE,Disease severity score,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
serum albumin,Biomarkers,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
serum creatinine,Biomarkers,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
sex,Patient characteristics,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
SOFA,Disease severity score,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
weight,Patient characteristics,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
weight,Patient characteristics,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
weight,Patient characteristics,no,NA,Alobaid,2016,https://dx.doi.org/10.1128/AAC.00531-16,Australia,prospective PK study,19,no,normal,obesity,meropenem
creatinine clearance,Physiological parameters,no,NA,Dhaese,2019,https://dx.doi.org/10.1093/jac/dky434,Belgium,prospective PK study,68,no,normal,general ICU,meropenem
BMI,Patient characteristics,yes,V,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
age,Patient characteristics,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
APACHE,Disease severity score,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
serum albumin,Biomarkers,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
serum creatinine,Biomarkers,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
sex,Patient characteristics,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
SOFA,Disease severity score,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
weight,Patient characteristics,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
weight,Patient characteristics,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
weight,Patient characteristics,no,NA,Alobaid,2017,https://dx.doi.org/10.1128/AAC.01276-16,Australia,prospective PK study,37,no,normal,obesity,piperacillin
creatinine clearance,Physiological parameters,no,CL,Dreesen,2022,https://dx.doi.org/10.1093/jac/dkac209,Belgium,prospective PK study,33,no,normal,pneumonia,ceftriaxone
CRRT,Organ dysfunction/support,yes,CL,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
weight,Patient characteristics,yes,V,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
age,Patient characteristics,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
AKI,Organ dysfunction/support,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
mechanical ventilation,Organ dysfunction/support,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
mortality,Other,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
sepsis,Organ dysfunction/support,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
sepsis,Organ dysfunction/support,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
SOFA,Disease severity score,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,An,2023,https://dx.doi.org/10.1128/aac.01312-22,USA,prospective PK study,130,no,normal,general ICU,meropenem
creatinine clearance,Physiological parameters,no,NA,Ehmann,2019,https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,Germany,prospective PK study,48,"ECMO, RRT",impaired,sepsis,meropenem
weight,Patient characteristics,yes,V,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
age,Patient characteristics,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
APACHE,Disease severity score,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
drug sieving coefficient,Extracorporeal parameters,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
patient type,Patient characteristics,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
serum albumin,Biomarkers,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
serum bilirubin,Biomarkers,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
serum protein,Biomarkers,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
sex,Patient characteristics,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
SOFA,Disease severity score,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
unbound drug fraction,Other,no,NA,Asin-Prieto,2014,https://dx.doi.org/10.1093/jac/dkt304,Spain,prospective PK study,16,RRT,impaired,CRRT,piperacillin
GFR,Physiological parameters,yes,CL,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
weight,Patient characteristics,yes,V,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
age,Patient characteristics,no,NA,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
BSA,Patient characteristics,no,NA,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
creatinine clearance,Physiological parameters,no,NA,Eisert,2021,https://dx.doi.org/10.1016/j.ijantimicag.2021.106289,Germany,prospective PK study,32,RRT,impaired,septic shock,meropenem
ethnicity,Patient characteristics,no,NA,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
liver disease,Organ dysfunction/support,no,NA,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
sex,Patient characteristics,no,NA,Barreto,2023,https://dx.doi.org/10.1002/phar.2766,USA,prospective PK study,100,no,normal,general ICU,cefepime
creatinine clearance,Physiological parameters,no,NA,Fratoni,2022,https://dx.doi.org/10.1093/jac/dkac261,USA,prospective PK study,9,no,augmented,augmented renal clearance,imipenem
MELD score,Disease severity score,yes,CL,Bastida,2020,https://dx.doi.org/10.1093/jac/dkaa362,Spain,prospective PK study,54,no,unclear,liver failure,meropenem
liver disease,Organ dysfunction/support,yes,V,Bastida,2020,https://dx.doi.org/10.1093/jac/dkaa362,Spain,prospective PK study,54,no,unclear,liver failure,meropenem
age,Patient characteristics,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
APACHE,Disease severity score,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
CRP,Biomarkers,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
fluid balance,Physiological parameters,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
GFR,Physiological parameters,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
mechanical ventilation,Organ dysfunction/support,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
procalcitonin,Biomarkers,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
sepsis,Organ dysfunction/support,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
serum albumin,Biomarkers,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
serum creatinine,Biomarkers,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
serum protein,Biomarkers,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
serum urea,Biomarkers,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
sex,Patient characteristics,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
weight,Patient characteristics,no,NA,Benitez-Cano,2020,https://dx.doi.org/10.1186/s13054-020-2763-4,Spain,prospective randomised PK trial,31,no,normal,pneumonia,meropenem
creatinine clearance,Physiological parameters,no,NA,Fratoni,2022,https://dx.doi.org/10.1093/jac/dkac261,USA,prospective PK study,9,no,augmented,augmented renal clearance,imipenem
creatinine clearance,Physiological parameters,no,NA,Goncalves-Pereira,2014,https://dx.doi.org/10.1186/2050-6511-15-21,Portugal,prospective PK study,15,no,normal,sepsis,meropenem
serum albumin,Biomarkers,yes,V,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
shock,Organ dysfunction/support,yes,V,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
age,Patient characteristics,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
AKI,Organ dysfunction/support,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
APACHE,Disease severity score,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
BMI,Patient characteristics,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
fluid balance,Physiological parameters,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
GFR,Physiological parameters,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
mechanical ventilation,Organ dysfunction/support,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
sepsis,Organ dysfunction/support,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
SOFA,Disease severity score,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Boonpeng,2022,https://dx.doi.org/10.1128/aac.00845-22,Thailand,prospective PK study,52,no,normal,general ICU,meropenem
diuresis,Physiological parameters,yes,CL,Braune,2018,https://dx.doi.org/10.1186/s13054-018-1940-1,Germany,prospective PK study,19,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Braune,2018,https://dx.doi.org/10.1186/s13054-018-1940-1,Germany,prospective PK study,19,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Braune,2018,https://dx.doi.org/10.1186/s13054-018-1940-1,Germany,prospective PK study,19,RRT,impaired,CRRT,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Braune,2018,https://dx.doi.org/10.1186/s13054-018-1940-1,Germany,prospective PK study,19,RRT,impaired,CRRT,meropenem
weight,Patient characteristics,no,NA,Braune,2018,https://dx.doi.org/10.1186/s13054-018-1940-1,Germany,prospective PK study,19,RRT,impaired,CRRT,meropenem
age,Patient characteristics,no,NA,Bue,2020,https://dx.doi.org/10.1016/j.ijid.2020.01.010,Denmark,prospective PK study,10,RRT,impaired,CRRT,piperacillin
creatinine clearance,Physiological parameters,no,NA,Jacobs,2018,https://dx.doi.org/10.1128/AAC.02534-17,Belgium,retrospective PK study,215,no,augmented,augmented renal clearance,"meropenem, cefepime, ceftazidime, piperacillin"
serum albumin,Biomarkers,no,NA,Bue,2020,https://dx.doi.org/10.1016/j.ijid.2020.01.010,Denmark,prospective PK study,10,RRT,impaired,CRRT,piperacillin
weight,Patient characteristics,no,NA,Bue,2020,https://dx.doi.org/10.1016/j.ijid.2020.01.010,Denmark,prospective PK study,10,RRT,impaired,CRRT,piperacillin
comorbidity,Patient characteristics,yes,CL,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
creatinine clearance,Physiological parameters,no,NA,Jager,2020,https://dx.doi.org/10.1093/jac/dkaa187,Australia,retrospective PK study,35,no,normal,hypoalbuminaemia,flucloxacillin
CRRT,Organ dysfunction/support,yes,CL,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
age,Patient characteristics,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
BMI,Patient characteristics,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
diuretic use,Other,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
GFR,Physiological parameters,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
mechanical ventilation,Organ dysfunction/support,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
RIFLE score,Organ dysfunction/support,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
serum albumin,Biomarkers,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
serum creatinine,Biomarkers,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
serum sodium,Biomarkers,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
sex,Patient characteristics,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
site of infection,Other,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
vasopressor use,Organ dysfunction/support,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
weight,Patient characteristics,no,NA,Buning,2021,https://dx.doi.org/10.3390/antibiotics10060612,Netherlands,retrospective PK study,96,no,unclear,general ICU,ceftazidime
age,Patient characteristics,yes,CL,Burger,2018,https://dx.doi.org/10.1093/jac/dky370,Switzerland,prospective PK study,86,RRT,impaired,CRRT,meropenem
creatinine clearance,Physiological parameters,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
weight,Patient characteristics,yes,V,Burger,2018,https://dx.doi.org/10.1093/jac/dky370,Switzerland,prospective PK study,86,RRT,impaired,CRRT,meropenem
sex,Patient characteristics,no,NA,Burger,2018,https://dx.doi.org/10.1093/jac/dky370,Switzerland,prospective PK study,86,RRT,impaired,CRRT,meropenem
creatinine clearance,Physiological parameters,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
age,Patient characteristics,no,NA,Burkhardt,2007,https://dx.doi.org/10.1093/jac/dkl485,Germany,prospective PK study,17,no,normal,VAP,ertapenem
serum creatinine,Biomarkers,no,NA,Burkhardt,2007,https://dx.doi.org/10.1093/jac/dkl485,Germany,prospective PK study,17,no,normal,VAP,ertapenem
serum protein,Biomarkers,no,NA,Burkhardt,2007,https://dx.doi.org/10.1093/jac/dkl485,Germany,prospective PK study,17,no,normal,VAP,ertapenem
creatinine clearance,Physiological parameters,no,NA,Mattioli,2016,https://dx.doi.org/10.1007/s00228-016-2053-x,Italy,prospective PK study,27,no,normal,sepsis,meropenem
age,Patient characteristics,no,NA,Carlier,2013,https://dx.doi.org/10.1093/jac/dkt240,Belgium,prospective PK study,13,no,normal,general ICU,amoxicillin
APACHE,Disease severity score,no,NA,Carlier,2013,https://dx.doi.org/10.1093/jac/dkt240,Belgium,prospective PK study,13,no,normal,general ICU,amoxicillin
sex,Patient characteristics,no,NA,Carlier,2013,https://dx.doi.org/10.1093/jac/dkt240,Belgium,prospective PK study,13,no,normal,general ICU,amoxicillin
SOFA,Disease severity score,no,NA,Carlier,2013,https://dx.doi.org/10.1093/jac/dkt240,Belgium,prospective PK study,13,no,normal,general ICU,amoxicillin
weight,Patient characteristics,no,NA,Carlier,2013,https://dx.doi.org/10.1093/jac/dkt240,Belgium,prospective PK study,13,no,normal,general ICU,amoxicillin
creatinine clearance,Physiological parameters,no,NA,Niibe,2022,https://dx.doi.org/10.1016/j.jiac.2021.12.017,Japan,prospective PK study,12,no,normal,general ICU,meropenem
age,Patient characteristics,no,NA,Carlier,2014,https://dx.doi.org/10.1093/jac/dku195,Belgium,prospective PK study,20,no,normal,general ICU,cefuroxime
APACHE,Disease severity score,no,NA,Carlier,2014,https://dx.doi.org/10.1093/jac/dku195,Belgium,prospective PK study,20,no,normal,general ICU,cefuroxime
serum albumin,Biomarkers,no,NA,Carlier,2014,https://dx.doi.org/10.1093/jac/dku195,Belgium,prospective PK study,20,no,normal,general ICU,cefuroxime
sex,Patient characteristics,no,NA,Carlier,2014,https://dx.doi.org/10.1093/jac/dku195,Belgium,prospective PK study,20,no,normal,general ICU,cefuroxime
SOFA,Disease severity score,no,NA,Carlier,2014,https://dx.doi.org/10.1093/jac/dku195,Belgium,prospective PK study,20,no,normal,general ICU,cefuroxime
weight,Patient characteristics,no,NA,Carlier,2014,https://dx.doi.org/10.1093/jac/dku195,Belgium,prospective PK study,20,no,normal,general ICU,cefuroxime
creatinine clearance,Physiological parameters,no,NA,Por,2021,https://dx.doi.org/10.1002/jcph.1865,USA,prospective PK study,23,RRT,impaired,burns,imipenem
BMI,Patient characteristics,no,V,Chauzy,2019,https://dx.doi.org/10.1093/jac/dky489,France,prospective PK study,11,no,unclear,CNS infection,ceftaroline
weight,Patient characteristics,no,V,Chauzy,2019,https://dx.doi.org/10.1093/jac/dky489,France,prospective PK study,11,no,unclear,CNS infection,ceftaroline
creatinine clearance,Physiological parameters,no,NA,Sakka,2007,https://dx.doi.org/10.1128/AAC.01318-06,Germany,prospective randomised PK trial,20,no,normal,VAP,imipenem
age,Patient characteristics,no,NA,Chauzy,2022,https://dx.doi.org/10.1093/jac/dkac299,France,prospective PK study,18,no,augmented,pneumonia,ceftaroline
SAPS,Disease severity score,no,NA,Chauzy,2022,https://dx.doi.org/10.1093/jac/dkac299,France,prospective PK study,18,no,augmented,pneumonia,ceftaroline
serum albumin,Biomarkers,no,NA,Chauzy,2022,https://dx.doi.org/10.1093/jac/dkac299,France,prospective PK study,18,no,augmented,pneumonia,ceftaroline
serum protein,Biomarkers,no,NA,Chauzy,2022,https://dx.doi.org/10.1093/jac/dkac299,France,prospective PK study,18,no,augmented,pneumonia,ceftaroline
SOFA,Disease severity score,no,NA,Chauzy,2022,https://dx.doi.org/10.1093/jac/dkac299,France,prospective PK study,18,no,augmented,pneumonia,ceftaroline
weight,Patient characteristics,no,NA,Chauzy,2022,https://dx.doi.org/10.1093/jac/dkac299,France,prospective PK study,18,no,augmented,pneumonia,ceftaroline
creatinine clearance,Physiological parameters,no,NA,Ulldemolins,2010,https://dx.doi.org/10.1093/jac/dkq184,Australia,prospective PK study,10,no,normal,hypoalbuminaemia,flucloxacillin
weight,Patient characteristics,yes,V,Cheatham,2014,https://dx.doi.org/10.1002/jcph.196,USA,prospective PK study,9,no,normal,obesity,meropenem
BMI,Patient characteristics,no,NA,Cheatham,2014,https://dx.doi.org/10.1002/jcph.196,USA,prospective PK study,9,no,normal,obesity,meropenem
weight,Patient characteristics,no,NA,Cheatham,2014,https://dx.doi.org/10.1002/jcph.196,USA,prospective PK study,9,no,normal,obesity,meropenem
weight,Patient characteristics,no,NA,Cheatham,2014,https://dx.doi.org/10.1002/jcph.196,USA,prospective PK study,9,no,normal,obesity,meropenem
creatinine clearance,Physiological parameters,no,NA,Wallenburg,2021,https://dx.doi.org/10.1093/jac/dkab314,Netherlands,prospective PK study,33,RRT,impaired,general ICU,flucloxacillin
ECMO,Organ dysfunction/support,yes,CL,Chen,2020,https://dx.doi.org/10.1128/AAC.00385-20,China,retrospective PK study,247,ECMO,unclear,ECMO,imipenem
