doi,study_id,author,year,year_date,country,country_economic_category,country_economic_category1,study_design,number_of_patients,inclusion_criteria,exclusion_criteria,extracorporeal,renal_function,patient_characteristics,patient_characteristics1,patient_characteristics2,patient_characteristics3,patient_characteristics4,other_patient_groups_studied,samples_used,other_samples,betalactam_studied,abx_cat,other_antimicrobials,quantification_method,modelling_software,compartments,model_evaluation_process,covariate_identification,covariate_testing_method,method_for_PTA,covariates_reported
https://dx.doi.org/10.1186/s13054-020-2763-4,11,Benitez-Cano,2020,2020-01-01,Spain,High-income,High-income,prospective randomised PK trial,31,"age ≥ 18 years, diagnosis of nosocomial pneumonia and risk factors for multidrug-resistant (MDR) pathogens, and GFR ≥ 50 mL/min/1.73 m2","allergy to β-lactams, previous use of carbapenems within 15 days, GFR < 50 mL/min/1.73 m2, severely impaired liver function (child-pugh C), obesity (BMI>30), pregnancy, life expectancy < 3 days, and colonization with pathogens known to be resistant to meropenem",no,normal,pneumonia,pneumonia,NA,NA,NA,no,plasma,epithelial lining fluid,meropenem,carbapenem,no,HPLC,Pmetrics,3,"VPC, linear regression, bias, imprecision",NA,stepwise linear regression,Monte Carlo,yes
https://dx.doi.org/10.1345/aph.1R789,12,Bhalodi,2013,2013-01-01,USA,High-income,High-income,prospective PK study,25,received at least 3 doses of doripenem for any infection between February 2010 and March 2012,"poor candidates for blood collection, required hemodialysis or a continuous renal replacement therapy, or were diagnosed with cystic fibrosis",no,normal,general ICU and non-ICU,general ICU,NA,NA,NA,yes,serum,no,doripenem,carbapenem,no,HPLC,BigNPAG,2,"Bayesian estimates, bias, imprecision, r2",NA,NA,Monte Carlo,yes
https://dx.doi.org/10.1128/aac.00845-22,13,Boonpeng,2022,2022-01-01,Thailand,Upper-middle-income,Middle-income,prospective PK study,52,"age of ≥18 years, confirmed or suspected bacterial infection, intravenous meropenem therapy, hospitalization in a medical or surgical ICU","requirement of renal replacement therapy, pregnancy or breastfeeding, a history of meropenem hypersensitivity",no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,HPLC,"NONMEM 7.4.3, Pirana 3.0.0",2,"OFV, AIC, parameter precision, visual inspection of various goodness-of-fit plots, bootstrapping, VPC",NA,"stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.1186/s13054-018-1940-1,14,Braune,2018,2018-01-01,Germany,High-income,High-income,prospective PK study,19,aged > 18 years treated with meropenem and receiving SLED during daytime,NA,RRT,impaired,SLED,CRRT,NA,NA,NA,no,serum,no,meropenem,carbapenem,no,HPLC-UV,Pmetrics,2,"coefficient of determination of the linear regression, bias, reduction in the log-likelihood, goodness-of-fit plots, imprecision, VPC, normalised prediction distribution errors",biological plausibility,stepwise forward inclusion,Monte Carlo,yes
https://dx.doi.org/10.1016/j.ijid.2020.01.010,15,Bue,2020,2020-01-01,Denmark,High-income,High-income,prospective PK study,10,patients treated with intravenous piperacillin/tazobactam (4 g/0.5 g) q8h given as an IA over 3 min and requiring CRRT,"pregnancy, platelets below 5 × 109/l, international normalized ratio (INR) above 5, known allergy to benzylpenicillin or piperacillin, lactate >4 mmol/l, and the need for noradrenalin >0.50 μg/kg/min or the equivalent doses of vasopressors",RRT,impaired,CRRT,CRRT,NA,NA,NA,no,plasma,subcutaneous tissue,piperacillin,penicillin,tazobactam,UHPLC,"NONMEM 7.4.3, Pirana",2,"statistical goodness-of-fit, graphical evaluation of residual diagnostic plots, VPC, plausibility, imprecision","graphical evaluation, LRT","stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.3390/antibiotics10060612,16,Buning,2021,2021-01-01,Netherlands,High-income,High-income,retrospective PK study,96,"aged ≥18 years treated with IV ceftazidime for a proven or suspected clinically relevant P. aeruginosa infection, and with at least one detectable ceftazidime serum concentration available during the course of therapy",cystic fibrosis,no,unclear,general ICU,general ICU,NA,NA,NA,no,serum,no,ceftazidime,cephalosporin,no,LC-MS/MS,NONMEM 7.1.2,1,"VPC, bootstrapping, Bayesian estimates, LRT",NA,stepwise forward inclusion,Monte Carlo,yes
https://dx.doi.org/10.1093/jac/dky370,17,Burger,2018,2018-01-01,Switzerland,High-income,High-income,prospective PK study,86,"prospectively enrolled in a therapeutic drug monitoring study, which aimed to assess the clinical utility of measuring antibiotic blood concentrations (n = 30) or were included in the institutional TDM programme (n = 56)",NA,RRT,impaired,CRRT,CRRT,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,"UPLC-MS, HPLC-UV","NONMEM 7.2, Xpose4",2,"bootstrapping, VPC, external model validation dataset",NA,"stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.1093/jac/dkl485,18,Burkhardt,2007,2007-01-01,Germany,High-income,High-income,prospective PK study,17,"critically ill patients treated with ertapenem for early-onset VAP (≤4 days of mechanical ventilation). VAP diagnosis based on a new and persistent infiltrate on the chest radiograph, and two of the following three criteria: fever > 38.3°C, WBC count > 12 000 cells/mm3, and/or purulent tracheobronchial secretions","child-bearing potential, pregnancy, lactation, a severely immunocompromised status, use of any antibacterial agent 4 weeks before study entry, a concomitant disease that may interfere with the course of the study, severe hepatic and renal impairment (CLCREA < 30 mL/min), drug or alcohol abuse in medical history, allergy to β-lactam antibiotics",no,normal,VAP,VAP,NA,NA,NA,no,plasma,no,ertapenem,carbapenem,no,HPLC,NONMEM 5,2,"AIC, Schwartz criteria",NA,"stepwise forward inclusion, likelihood ratio test, backward deletion",NA,yes
https://dx.doi.org/10.1093/jac/dkt240,19,Carlier,2013,2013-01-01,Belgium,High-income,High-income,prospective PK study,13,admitted to the ICU and prescribed amoxicillin/clavulanic acid,"<18 years of age, a haematocrit of <21%, absence of an arterial catheter or need for renal replacement therapy",no,normal,no,general ICU,NA,NA,NA,no,plasma,no,amoxicillin,penicillin,clavulanic acid,UHPLC-MS/MS,NONMEM 6.1,2,"OFV, log-likelihood ratios, bootstrapping",NA,"stepwise forward inclusion, backward deletion",NA,yes
https://dx.doi.org/10.1093/jac/dku195,20,Carlier,2014,2014-01-01,Belgium,High-income,High-income,prospective PK study,20,admitted to the ICU and prescribed cefuroxime,"<18 years of age, a haematocrit of <21%, absence of an arterial catheter or need for renal replacement therapy",no,normal,no,general ICU,NA,NA,NA,no,plasma,no,cefuroxime,cephalosporin,no,UHPLC-MS/MS,NONMEM 7.3,2,"OFV, log-likelihood ratios, bootstrapping",NA,stepwise forward inclusion,Monte Carlo,yes
https://dx.doi.org/10.1093/jac/dky489,21,Chauzy,2019,2019-01-01,France,High-income,High-income,prospective PK study,11,hospitalized in the neurosurgery ICU with an EVD and with or without suspected meningitis/ventriculitis (> 5 leucocytes/mm3 and/or positive direct examination or positive culture),NA,no,unclear,meningitis/ventriculitis,CNS infection,NA,NA,NA,no,plasma,CSF,ceftaroline,cephalosporin,no,LC-MS/MS,NONMEM 7.4,2,VPC,NA,"stepwise forward inclusion, backward elimination",NA,yes
https://dx.doi.org/10.1093/jac/dkac299,22,Chauzy,2022,2022-01-01,France,High-income,High-income,prospective PK study,18,"ICU patients aged ≥ 18 years, mechanically ventilated, presenting early-onset (i.e. during the 7 days following hospital admission) pneumonia caused by Gram-positive and/or Gram-negative bacteria and a creatinine clearance more than 80 mL/min/1.73 m2 estimated by the MDRD formula","renal impairment (measured urinary CLCR <80 mL/min/1.73 m2), one or more risk factors of MDR bacteria, septic shock, BMI >40 kg/m2, diuretic treatment, ceftaroline contraindications and suspicion or confirmation of pneumonia due to ceftaroline-resistant bacteria",no,augmented,"pneumonia, augmented renal clearance",pneumonia,ARC,NA,NA,no,plasma,no,ceftaroline,cephalosporin,no,LC–MS/MS,NONMEM 7.4,2,"improvement of diagnostic plots, OFV, VPC, shrinkage",NA,"stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.1002/jcph.196,23,Cheatham,2014,2014-01-01,USA,High-income,High-income,prospective PK study,9,"adult patients who were hospitalized in an intensive care unit, body mass index ≥ 40 kg/m2, antimicrobial therapy for a suspected or documented bacterial infection, central venous access, and an estimated creatinine clearance ≥ 50 mL/min","history of allergy to carbapenems, pregnancy, undergoing dialysis of any type, and hepatic dysfunction defined as serum bilirubin and alanine aminotransferase levels above the normal upper limit by factors of ≥2 and ≥4, respectively",no,normal,obesity,obesity,NA,NA,NA,no,serum,no,meropenem,carbapenem,no,HPLC,Boomer 3.3.6,2,visual inspection,NA,linear regression,Monte Carlo,yes
https://dx.doi.org/10.1128/AAC.00385-20,24,Chen,2020,2020-01-01,China,Upper-middle-income,Middle-income,retrospective PK study,247,"patients ≥18 years old; sex (male and female); patients who were administered imipenem after clinical diagnosis; patients without additional lifestyle risk factors, such as smoking; patients with or without ECMO",blood sampling was not available at steady state after 4 doses of imipenem and/or all of the collected concentrations were below the lower limit of quantitation (LLOQ) and/or if patient before ECMO withdrawal,ECMO,unclear,ECMO,ECMO,NA,NA,NA,yes,plasma,no,imipenem,carbapenem,no,UPLC-MS/MS,NONMEM 7.2,2,"VPC, goodness-of-fit plots",NA,"stepwise forward inclusion, backward elimination, likelihood ratio test",Monte Carlo,yes
https://dx.doi.org/10.1128/AAC.01438-21,25,Cheng,2021,2021-01-01,International,High-income,High-income,prospective PK study,27,ICU patients aged between 18 and 90 years old who were receiving piperacillin and tazobactam while undergoing ECMO for respiratory and/or cardiac dysfunction,"known allergy to the study drug, pregnant, bilirubin >150 μmol/liter, ongoing massive blood transfusion (>50% blood volume) in the preceding 8 hours, therapeutic plasma exchange in the preceding 24 hours","ECMO, RRT",impaired,ECMO,ECMO,NA,NA,NA,no,plasma,no,piperacillin,penicillin,tazobactam,UHPLC-MS/MS,Pmetrics,2,"VPC, normalized prediction distribution errors, R2",biological plausibility,"stepwise forward inclusion, log likelihood, linear regression, backward deletion",Monte Carlo,yes
https://dx.doi.org/10.1016/j.ijantimicag.2021.106466,26,Cheng,2021,2021-01-01,International,High-income,High-income,prospective PK study,6,"patients aged between 18–90 years, hospitalised in ICU and who were receiving cefepime whilst undergoing ECMO for respiratory and/or cardiac dysfunction","known allergy to the study drug, pregnant, bilirubin > 150 µmol/L, ongoing massive blood transfusion (> 50% blood volume) in the preceding 8 hours, therapeutic plasma exchange in the preceding 24 hours",ECMO,unclear,ECMO,ECMO,NA,NA,NA,no,plasma,no,cefepime,cephalosporin,no,HPLC-PDA,Pmetrics,2,"VPC, normalized prediction distribution errors, R2",NA,"stepwise forward inclusion, log likelihood, linear regression, backward deletion",Monte Carlo,yes
https://dx.doi.org/10.1007/s40262-021-01106-x,27,Cheng,2022,2022-01-01,International,High-income,High-income,prospective PK study,14,ICU patients aged 18–90 years who were receiving ceftriaxone whilst undergoing ECMO for respiratory and/or cardiac dysfunction,"known allergy to the study drug, pregnant, bilirubin > 150 µmol/L, ongoing massive blood transfusion (> 50% blood volume) in the preceding 8 h, therapeutic plasma exchange in the preceding 24 h","ECMO, RRT",impaired,ECMO,ECMO,NA,NA,NA,no,plasma,no,ceftriaxone,cephalosporin,no,UHPLC-MS/MS,Pmetrics,2,"R2, bias, log-likelihood ratio, imprecision, BIC, AIC, VPC",biological plausibility,"stepwise forward inclusion, log likelihood, linear regression, backward deletion",Monte Carlo,yes
https://dx.doi.org/10.1177/1060028016676831,28,Chung,2017,2017-01-01,USA,High-income,High-income,prospective PK study,20,adult patients 18 to 65 years of age who were obese (BMI ≥ 40 kg/m2 or TBW ≥ 45.5 kg over their ideal body weight [IBW]) and hospitalized in an ICU or non-ICU,"documented allergy to any β-lactam antibiotic, history of drug or alcohol abuse, history of any seizure disorder, acute or chronic renal failure, renal replacement therapy of any type, or hepatic dysfunction defined as serum bilirubin and alanine aminotransferase concentrations ≥2 and ≥4 times the upper normal limit, respectively",no,normal,obesity,obesity,NA,NA,NA,yes,serum,no,doripenem,carbapenem,no,UPLC-MS/MS,NONMEM 7.4,2,"goodness-of-fit plots, AIC, OFV, visual inspection",NA,"stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.3389/fphar.2021.781892,29,Cojutti,2021,2021-01-01,Italy,High-income,High-income,retrospective PK study,74,critically ill patients who were admitted to ICU and received continuous infusion meropenem for empirical or targeted treatment of Gram-negative-related infections,"absence of critical illness, meropenem administration by extended or intermittent infusion, blood sampling inconsistency, and application of renal replacement therapy",no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,LC–MS/MS,Pmetrics,1,"OFV, AIC, BIC",biological plausibility,"stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.1111/j.1365-2125.2007.02857.x,30,Conil,2007,2007-01-01,France,High-income,High-income,prospective PK study,50,ICU burns patients in the secondary phase of their burn injuries with local infections or sepsis (empirically or targeted) prescribed ceftazidime,allergy to ceftazidime,no,unclear,burns,burns,NA,NA,NA,no,serum,no,ceftazidime,cephalosporin,no,HPLC,"NONMEM, Visual-NM",2,"bias, AIC, imprecision, OFV, Bayesian estimator",NA,structural model,NA,yes
https://dx.doi.org/10.1111/bcp.12435,31,Couffignal,2014,2014-01-01,France,High-income,High-income,prospective PK study,63,male or female over 18 years of age; use of mechanical ventilation for >48 h; clinical suspicion of VAP (new or persistent radiological infiltrate and one of the following criteria: purulent tracheal aspiration or temperature ≥ 38.3°C or leucocytosis >10 000 ml−1); VAP with high risk of multiresistant bacteria (at least 6 days of mechanical ventilation or antibiotic treatment within 15 days),time between diagnosis and first antibiotic therapy ≥24 h; expected death within 48 h; creatinine clearance <10 ml min−1 or renal replacement therapy,no,normal,VAP,VAP,NA,NA,NA,no,plasma,no,imipenem,carbapenem,no,HPLC,Monolix 4.1.2,2,"goodness-of-fit plots, VPC, normalized prediction distribution error",previously published covariates,"stepwise forward inclusion, backward elimination, BIC, bootstrapping",Monte Carlo,yes
https://dx.doi.org/10.1007/s00134-010-2105-0,32,Crandon,2011,2011-01-01,USA,High-income,High-income,prospective PK study,26,at least 18 years of age and had received at least 3 consecutive doses of meropenem,deemed poor candidates for blood collection or required hemodialysis during meropenem therapy,no,unclear,general ICU,general ICU,NA,NA,NA,no,serum,no,meropenem,carbapenem,no,HPLC,NA,2,goodness-of-fit plots,NA,NA,Monte Carlo,yes
https://dx.doi.org/10.1093/jac/dkm467,33,De Jongh,2008,2008-01-01,Belgium,High-income,High-income,prospective randomised PK trial,17,"(i) a high probability of infection from nosocomial origin [body temperature >38 or <35.5°C not induced by external factors; leucocytosis or leucopenia; one or several suspected infection foci (based on X-ray pathognomonic image, purulent sputum, white blood cells in urine, or other accepted clinical sign)]; and (ii) no suspicion of an infection by Pseudomonas spp. or another temocillin-resistant bacteria","(i) age <18 or >75 years; (ii) patient's weight <50 or >100 kg; (iii) renal insufficiency (estimated clearance <45 mL/min); (iv) haemodialysis; (v) estimated survival <5 days; (vi) documentation of temocillin-resistant organism; (vii) meningitis or other proven infections of the CNS; (viii) IgE-mediated allergy to penicillins; (ix) severe granulocytopenia (<500 polymorphonuclear leucocytes/mm3); (x) pregnancy; (xi) patients having participated in another study <30 days before; and (xii) retrospectively, marked deterioration of the renal function during the study period",no,normal,pneumonia,pneumonia,NA,NA,NA,no,serum,no,temocillin,penicillin,no,HPLC,WinNonMix,1,NA,NA,NA,Monte Carlo,no
https://dx.doi.org/10.1007/s40262-020-00859-1,34,de Velde,2020,2020-01-01,Switzerland,High-income,High-income,retrospective PK study,26,suspected or documented severe bacterial infection and age 18–60 years,"eGFR < 60 mL/min (measured by the Cockcroft–Gault [CG] equation [25]), body mass index < 18 or > 30 kg/m2, and pregnancy",no,normal,severe bacterial infection,severe bacterial infection,NA,NA,NA,no,plasma,no,imipenem,carbapenem,cilastatin,HPLC-UV,"NONMEM 7.2, Pmetrics",2,"OFV, goodness-of-fit plots, VPC",NA,"stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.1016/j.clinbiochem.2012.03.030,35,Delattre,2012,2012-01-01,Belgium,High-income,High-income,prospective PK study,88,ICU patients diagnosed with severe sepsis or septicshock at their ICU admission or during their ICU stay. Severe sepsis and septic shock were defined according to standard criteria,"(i) age under 18 years or over 90 years, (ii) pregnancy or lactation, (iii) previous administration of any of the investigated antibiotics duringthe week before inclusion, (iv) chronic renal failure requiring dialysis and (v) allergy to any of the investigated drugs.",no,normal,"sepsis, septick shock",sepsis,septic shock,NA,NA,no,serum,no,"piperacillin, ceftazidime, cefepime, meropenem",penicillin,amikacin,HPLC,NONMEM 4,2,nonparametric bootstrap procedure,biological plausibility,NA,NA,yes
https://dx.doi.org/10.1016/j.ijantimicag.2017.12.015,36,Dhaese,2018,2018-01-01,Belgium,High-income,High-income,prospective PK study,110,Patients who were admitted to the surgical ICU and received continuous infusion of piperacillin,Patients who received extracorporeal membrane oxygenation or renal replacement therapy during piperacillin/tazobactam therapy and patients aged <18 years were excluded,no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,piperacillin,penicillin,tazobactam,UHPLC-MS/MS,Pmetrics 1.5.0,1,"visual inspection, AIC, bias, imprecision",NA,NA,Monte Carlo,yes
https://dx.doi.org/10.1016/j.ijantimicag.2019.08.024,37,Dhaese,2019,2019-01-01,Belgium,High-income,High-income,prospective PK study,17,admitted to the surgical or medical ICU and received piperacillin/tazobactam (TZP) in continuous infusion,aged <18 years and those receiving extracorporeal membrane oxygenation or renal replacement therapy during antibiotic therapy were excluded from the study,no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,piperacillin,penicillin,tazobactam,UPLC-MS/MS,Pmetrics 1.5.2,2,"goodness-of-fit plots, VPC, independent external validation dataset, LRT, AIC",biological plausibility,"stepwise forward inclusion, backward elimination",Monte Carlo,yes
https://dx.doi.org/10.1093/jac/dky434,38,Dhaese,2019,2019-01-01,Belgium,High-income,High-income,prospective PK study,68,admitted to the surgical ICU and received meropenem as a continuous infusion,Patients aged <18 years and patients receiving extracorporeal membrane oxygenation (ECMO) or renal replacement therapy (RRT) during meropenem drug therapy,no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,UPLC–MS/MS,Pmetrics 1.5.0,1,"VPC, goodness-of-fit plots, coefficient of determination of the linear regression, bias, imprecision, AIC, NPDE",NA,forward selection,NA,yes
https://dx.doi.org/10.2147/IDR.S373348,39,Dinh,2022,2022-01-01,Vietnam,Lower-middle-income,Middle-income,prospective PK study,24,admitted to the intensive care unit and got imipenem per clinical indication,"allergic to imipenem, <18 years old, pregnant or breastfeeding, or receiving dialysis",no,normal,general ICU,general ICU,NA,NA,NA,no,plasma,no,imipenem,carbapenem,no,HPLC-UV,Monolix 2019R1,2,"AIC, OFV, goodness-of-fit plots, NPDE, VPC",previously published covariates,COSSAC method,Monte Carlo,yes
https://dx.doi.org/10.1093/jac/dkac209,40,Dreesen,2022,2022-01-01,Belgium,High-income,High-income,prospective PK study,33,all adult patients admitted to the ICU with pneumonia and treated with ceftriaxone,Pregnant women and patients treated with renal replacement therapy,no,normal,pneumonia,pneumonia,NA,NA,NA,no,plasma,no,ceftriaxone,cephalosporin,no,HPLC-MS/MS,NONMEM 7.4,2,"OFV, VPC, goodness-of-fit plots, NPDE, bootstrapping",biological plausibility,likelihood ratio test,Monte Carlo,yes
https://dx.doi.org/10.1016/j.ijantimicag.2019.06.027,41,Economou,2019,2019-01-01,Australia,High-income,High-income,prospective PK study,6,(i) age ≥18 years; (ii) admission to an intensive care unit (ICU); (iii) clinical indication for TCC (only the combination formulation was available in Australia at the time of study); and (iv) receiving EDDf,(i) pregnant women; (ii) patients with active bleeding; or (iii) patients with human immunodeficiency virus (HIV) infection or hepatitis,RRT,impaired,EDDf,CRRT,NA,NA,NA,no,plasma,no,ticarcillin,penicillin,no,UHPLC-MS/MS,Pmetrics 1.5.1,2,"goodness-of-fit plots, coefficients of determination, log-likelihood values, bias, imprecision, bootstrapping, NPDE, VPC",biological plausibility,"stepwise linear regression, –2 log-likelihood value, goodness-of-fit plots",NA,yes
https://dx.doi.org/10.1016/j.ijantimicag.2019.06.016,42,Ehmann,2019,2019-01-01,Germany,High-income,High-income,prospective PK study,48,"presence of severe infection (confirmed or suspected by clinical assessment), age ≥ 18 years and therapy with meropenem",planned hospitalisation < 4 days or meropenem administration > 48 h prior to study start,"ECMO, RRT",impaired,sepsis,sepsis,NA,NA,NA,no,plasma,no,meropenem,carbapenem,no,UHPLC-MS/MS,NONMEM 7.3,2,"goodness-of-fit plots, VPC, bootstrapping, case-deletion diagnostics","biological plausibility, previously published covariates, graphical evaluation","stepwise forward inclusion, backward elimination",Monte Carlo,yes
